file_name,page_number,unique_identifier,title,author,published_date,type,genre,physical_description,language,Content,keywords
PoorRichard_Almanack(1746)Page1.jpg,1,81431-p3sn01r99_p01,"Poor Richard, 1746. An almanack for the year of Christ 1746 : Fitted to the latitude of forty degrees, and a meridian of five hours west from London, but may without sensible error, serve all the adjacent places, even from Newfoundland to South-Carolina",Printed and sold by Benjamin Franklin,1745,Text,almanack; book,Hardcover ,English,Cover,Curtis Publishing Company Collection
PoorRichard_Almanack(1746)Page2.jpg,2,81431-p3sn01r99_p02,"Poor Richard, 1746. An almanack for the year of Christ 1746 : Fitted to the latitude of forty degrees, and a meridian of five hours west from London, but may without sensible error, serve all the adjacent places, even from Newfoundland to South-Carolina",Printed and sold by Benjamin Franklin,1745,Text,almanack; book,Cover Paper,English,Cover,Curtis Publishing Company Collection
PoorRichard_Almanack(1746)Page3.jpg,3,81431-p3sn01r99_p03,"Poor Richard, 1746. An almanack for the year of Christ 1746 : Fitted to the latitude of forty degrees, and a meridian of five hours west from London, but may without sensible error, serve all the adjacent places, even from Newfoundland to South-Carolina",Printed and sold by Benjamin Franklin,1745,Text,almanack; book,Cover Paper,English,Cover,Curtis Publishing Company Collection
PoorRichard_Almanack(1746)Page4.jpg,4,81431-p3sn01r99_p04,"Poor Richard, 1746. An almanack for the year of Christ 1746 : Fitted to the latitude of forty degrees, and a meridian of five hours west from London, but may without sensible error, serve all the adjacent places, even from Newfoundland to South-Carolina",Printed and sold by Benjamin Franklin,1745,Text,almanack; book,Cover Paper,English,Cover,Curtis Publishing Company Collection
PoorRichard_Almanack(1746)Page5.jpg,5,81431-p3sn01r99_p05,"Poor Richard, 1746. An almanack for the year of Christ 1746 : Fitted to the latitude of forty degrees, and a meridian of five hours west from London, but may without sensible error, serve all the adjacent places, even from Newfoundland to South-Carolina",Printed and sold by Benjamin Franklin,1745,Text,almanack; book,Original Paper ,English,Title Page,"Astronomy, B.Franklin, Benjamin Franklin, Franklin, nature, observations, philadelphia, enlightenment, courts, quakers, dates, records, navigation, maryland, supreme court, weather predictions, weather, proverbs, Poor Richard, calendar, 1700s, 18th century, 1746"
PoorRichard_Almanack(1746)Page6.jpg,6,81431-p3sn01r99_p06,"Poor Richard, 1746. An almanack for the year of Christ 1746 : Fitted to the latitude of forty degrees, and a meridian of five hours west from London, but may without sensible error, serve all the adjacent places, even from Newfoundland to South-Carolina",Printed and sold by Benjamin Franklin,1745,Text,almanack; book,Original Paper ,English,Preface,"Astronomy, B.Franklin, Benjamin Franklin, Franklin, nature, observations, philadelphia, enlightenment, courts, quakers, dates, records, navigation, maryland, supreme court, weather predictions, weather, proverbs, Poor Richard, calendar, 1700s, 18th century, 1747"
PoorRichard_Almanack(1746)Page7.jpg,7,81431-p3sn01r99_p07,"Poor Richard, 1746. An almanack for the year of Christ 1746 : Fitted to the latitude of forty degrees, and a meridian of five hours west from London, but may without sensible error, serve all the adjacent places, even from Newfoundland to South-Carolina",Printed and sold by Benjamin Franklin,1745,Text,almanack; book,Original Paper ,English,Table,"Astronomy, B.Franklin, Benjamin Franklin, Franklin, nature, observations, philadelphia, enlightenment, courts, quakers, dates, records, navigation, maryland, supreme court, weather predictions, weather, proverbs, Poor Richard, calendar, 1700s, 18th century, 1748"
PoorRichard_Almanack(1746)Page8.jpg,8,81431-p3sn01r99_p08,"Poor Richard, 1746. An almanack for the year of Christ 1746 : Fitted to the latitude of forty degrees, and a meridian of five hours west from London, but may without sensible error, serve all the adjacent places, even from Newfoundland to South-Carolina",Printed and sold by Benjamin Franklin,1745,Text,almanack; book,Original Paper ,English,Planet Motions,"Astronomy, B.Franklin, Benjamin Franklin, Franklin, nature, observations, philadelphia, enlightenment, courts, quakers, dates, records, navigation, maryland, supreme court, weather predictions, weather, proverbs, Poor Richard, calendar, 1700s, 18th century, 1749"
PoorRichard_Almanack(1746)Page9.jpg,9,81431-p3sn01r99_p09,"Poor Richard, 1746. An almanack for the year of Christ 1746 : Fitted to the latitude of forty degrees, and a meridian of five hours west from London, but may without sensible error, serve all the adjacent places, even from Newfoundland to South-Carolina",Printed and sold by Benjamin Franklin,1745,Text,almanack; book,Original Paper ,English,Image,"Astronomy, B.Franklin, Benjamin Franklin, Franklin, nature, observations, philadelphia, enlightenment, courts, quakers, dates, records, navigation, maryland, supreme court, weather predictions, weather, proverbs, Poor Richard, calendar, 1700s, 18th century, 1750"
PoorRichard_Almanack(1746)Page10.jpg,10,81431-p3sn01r99_p10,"Poor Richard, 1746. An almanack for the year of Christ 1746 : Fitted to the latitude of forty degrees, and a meridian of five hours west from London, but may without sensible error, serve all the adjacent places, even from Newfoundland to South-Carolina",Printed and sold by Benjamin Franklin,1745,Text,almanack; book,Original Paper ,English,Explanation of the Almanack,"Astronomy, B.Franklin, Benjamin Franklin, Franklin, nature, observations, philadelphia, enlightenment, courts, quakers, dates, records, navigation, maryland, supreme court, weather predictions, weather, proverbs, Poor Richard, calendar, 1700s, 18th century, 1751"
