A Table for the more ready casting up of Coins, in Pennsylvania.

No.	Ps. Eight.	Spanish Pistoles.	English Guineas.	Moidores.
£	s.	d.	£	s.	d.	£	s.	d.	£	s.	d.
1	0	7	6	1	7	0	1	14	0	2	3	6
2	0	15	0	2	14	0	3	8	0	4	7	0
3	1	2	6	4	1	0	5	2	0	6	10	6
4	1	10	0	5	8	0	6	16	0	8	14	0
5	1	17	6	6	15	0	8	10	0	10	17	6
6	2	5	0	8	2	0	10	4	0	13	1	0
7	2	12	6	9	9	0	11	18	0	15	4	6
8	3	0	0	10	16	0	13	12	0	17	8	0
9	3	7	6	12	3	0	15	6	0	19	11	6
10	3	15	0	13	10	0	17	0	0	21	15	0
11	4	2	6	14	17	0	18	14	0	23	18	6
12	4	10	0	16	4	0	20	8	0	26	2	0
13	4	17	6	17	11	0	22	2	0	28	5	6
14	5	5	0	18	18	0	23	16	0	30	9	0
15	5	12	6	20	5	0	25	10	0	32	12	6
16	6	0	0	21	12	0	27	4	0	34	16	0
17	6	7	6	22	19	0	28	18	0	36	19	6
18	6	15	0	24	6	0	30	12	0	39	3	0
19	7	2	6	25	13	0	32	6	0	41	6	6
20	7	10	0	27	0	0	34	0	0	43	10	0
30	11	5	0	40	10	0	51	0	0	65	5	0
40	15	0	0	54	0	0	68	0	0	87	0	0
50	18	15	0	67	10	0	85	0	0	108	15	0
60	22	10	0	81	0	0	102	0	0	130	10	0
70	26	5	0	94	10	0	119	0	0	152	5	0
80	30	0	0	108	0	0	136	0	0	174	0	0
90	33	15	0	121	10	0	153	0	0	195	15	0
100	37	10	0	135	0	0	170	0	0	217	10	0
Explanation.
Find your Number in the 1st Col. under No. and right against the same you have the Sum of that Number of Pieces of Eight, Spanish Pistoles, English Guineas, Moidores. But if your Sum cannot be found at one View, it must be taken at two or more Operations.
